,Strategy
0,
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.02828933448469395
18,0.04981383240906401
19,0.04829254675723438
20,0.001812583060260442
21,-0.0009386908349676704
22,0.03204399904619604
23,0.04045961969933032
24,0.05262980613559831
25,0.0358633634390042
26,0.04078321763423021
27,0.03450387675462463
28,0.05907104476102232
29,0.05907104476102232
30,0.05907104476102232
31,0.05907104476102232
32,0.07440929885365732
33,0.07440929885365732
34,0.07440929885365732
35,0.023374442917548643
36,-0.011289479456639051
37,0.0043951030587168205
38,-0.06126040224289131
39,-0.06180954592321197
40,0.02553666342804628
41,-0.007033642118766226
42,0.03902467122211961
43,0.00532182884232868
44,-0.0080289715855002
45,-0.08648602889616908
46,-0.020693316228316494
47,-0.020693316228316494
48,-0.020693316228316494
49,-0.020693316228316494
50,-0.020693316228316494
51,0.022366879122223793
52,-0.0026606201362745496
53,-0.010302290518595436
54,-0.0731337956960636
55,-0.09282428568009371
56,-0.0018115182295558308
57,-0.007310290578892431
58,0.044928015892537365
59,0.044928015892537365
60,0.044928015892537365
61,0.044928015892537365
62,0.044928015892537365
63,0.044928015892537365
64,0.044928015892537365
65,0.044928015892537365
66,0.044928015892537365
67,0.044928015892537365
68,0.044928015892537365
69,0.044928015892537365
70,0.044928015892537365
71,0.044928015892537365
72,0.044928015892537365
73,0.044928015892537365
74,0.044928015892537365
75,0.044928015892537365
76,0.044928015892537365
77,0.044928015892537365
78,0.07509465601945076
79,0.07585456715487249
80,0.05841556895007205
81,0.09317947433781537
82,0.11624128159239988
83,0.09827055429589282
84,0.11380977466213849
85,0.13052677612597585
86,0.13052677612597585
87,0.13052677612597585
88,0.13052677612597585
89,0.13052677612597585
90,0.13052677612597585
91,0.13052677612597585
92,0.13052677612597585
93,0.13052677612597585
94,0.13052677612597585
95,0.12399409715830778
96,0.1458537114372105
97,0.13731085100944762
98,0.14463331845334482
99,0.13688013696110723
100,0.14183345805772474
101,0.14233603080792445
102,0.14122331633614382
103,0.15525799996165346
104,0.16060621529638563
105,0.16699539594174295
106,0.15694503634478907
107,0.1898959755312708
108,0.19693122724913859
109,0.23472791856085684
110,0.23472791856085684
111,0.23472791856085684
112,0.23472791856085684
113,0.23472791856085684
114,0.23472791856085684
115,0.23472791856085684
116,0.23472791856085684
117,0.23472791856085684
118,0.23472791856085684
119,0.23472791856085684
120,0.23472791856085684
121,0.23472791856085684
122,0.19678994696962082
123,0.2243719695030555
124,0.23459251765116584
125,0.23225734254199137
126,0.23225734254199137
127,0.26522049260918057
128,0.2612946924731867
129,0.2906703897576619
130,0.29622069096805625
131,0.29622069096805625
132,0.29622069096805625
133,0.29622069096805625
134,0.29622069096805625
135,0.29622069096805625
136,0.29622069096805625
137,0.29622069096805625
138,0.29622069096805625
139,0.2998621234583998
140,0.2406970271673179
141,0.23762346932969458
142,0.2669554695472178
143,0.24614250669175197
144,0.2700290273848407
145,0.285396612668233
146,0.4199630246524928
147,0.45574269610652207
148,0.45574269610652207
149,0.45574269610652207
150,0.45574269610652207
151,0.45574269610652207
152,0.45574269610652207
153,0.45574269610652207
154,0.45574269610652207
155,0.45574269610652207
156,0.45574269610652207
157,0.45574269610652207
158,0.45574269610652207
159,0.4575692211825968
160,0.48991212204033285
161,0.5666909517627683
162,0.585428955843653
163,0.5724225211372418
164,0.5724225211372418
165,0.5724225211372418
166,0.5724225211372418
167,0.5724225211372418
168,0.5724225211372418
169,0.5724225211372418
170,0.5724225211372418
171,0.573463195225105
172,0.4675770382665376
173,0.5261136159129067
174,0.47629246045306894
175,0.4569103769762981
176,0.5006176962251185
177,0.5029591633007391
178,0.458601397935968
179,0.43531683625178186
180,0.3897883869712724
181,0.4319347943324412
182,0.45443880082865884
183,0.3934307462787938
184,0.40773966763241076
185,0.40773966763241076
186,0.40773966763241076
187,0.40773966763241076
188,0.40773966763241076
189,0.40773966763241076
190,0.40773966763241076
191,0.40773966763241076
192,0.40773966763241076
193,0.40773966763241076
194,0.40773966763241076
195,0.40773966763241076
196,0.40773966763241076
197,0.40773966763241076
198,0.40773966763241076
199,0.40773966763241076
200,0.40773966763241076
201,0.40773966763241076
202,0.40773966763241076
203,0.4000726391949154
204,0.3866552937302039
205,0.3781496869135508
206,0.37826950993862707
207,0.39683805730517263
208,0.3321474248903895
209,0.3815040004301815
210,0.3041148693029565
211,0.3030366448736461
212,0.3230428857447307
213,0.37707146248424017
214,0.42594883732191535
215,0.42594883732191535
216,0.42594883732191535
217,0.42594883732191535
218,0.42594883732191535
219,0.42594883732191535
220,0.42594883732191535
221,0.42594883732191535
222,0.42594883732191535
223,0.42594883732191535
224,0.42594883732191535
225,0.42594883732191535
226,0.42594883732191535
227,0.44248157386409237
228,0.4532529123521265
229,0.4602667716255757
230,0.49107787184917706
231,0.5370438770500527
232,0.5415528138848886
233,0.5415528138848886
234,0.5415528138848886
235,0.5415528138848886
236,0.5415528138848886
237,0.5415528138848886
238,0.5415528138848886
239,0.5415528138848886
240,0.5415528138848886
241,0.5415528138848886
242,0.5415528138848886
243,0.5415528138848886
244,0.5415528138848886
245,0.5606608639106607
246,0.5606608639106607
247,0.5606608639106607
248,0.5606608639106607
249,0.5606608639106607
250,0.5606608639106607
251,0.5606608639106607
252,0.5606608639106607
253,0.5606608639106607
254,0.5799564594853268
255,0.5267727177072985
256,0.5788711201880039
257,0.5924987714261423
258,0.555475047237576
259,0.5533043686429304
260,0.5785093404222299
261,0.5546309557901667
262,0.5332850295185236
263,0.5416063321677163
264,0.5922575235762286
265,0.6506269900182458
266,0.6506269900182458
267,0.6506269900182458
268,0.6506269900182458
269,0.6506269900182458
270,0.6506269900182458
271,0.6506269900182458
272,0.6506269900182458
273,0.6506269900182458
274,0.6506269900182458
275,0.6931434748207626
276,0.6853795279456047
277,0.6872281852244675
278,0.6761368056822896
279,0.6684962154519221
280,0.6652921394296925
281,0.6682496902060073
282,0.6413842677549306
283,0.6124236627790764
284,0.5984980891053742
285,0.6004697269416952
286,0.5527773402369616
287,0.5510520396028893
288,0.5447669621377218
289,0.4910359291919024
290,0.4943633618589227
291,0.5748366486546941
292,0.5419325799625319
293,0.5042222091933592
294,0.48043760014155423
295,0.49633509371707674
296,0.4339775576008962
297,0.492268273355978
298,0.492268273355978
299,0.492268273355978
300,0.492268273355978
301,0.492268273355978
302,0.492268273355978
303,0.492268273355978
304,0.492268273355978
305,0.492268273355978
306,0.492268273355978
307,0.492268273355978
308,0.492268273355978
309,0.492268273355978
310,0.492268273355978
311,0.492268273355978
312,0.492268273355978
313,0.5202716392635778
314,0.5308506696154509
315,0.5669439157762441
316,0.5669439157762441
317,0.5669439157762441
318,0.5669439157762441
319,0.5669439157762441
320,0.5669439157762441
321,0.5669439157762441
322,0.5669439157762441
323,0.5669439157762441
324,0.5669439157762441
325,0.5669439157762441
326,0.5669439157762441
327,0.5669439157762441
328,0.5669439157762441
329,0.5952092947487584
330,0.5999596963771208
331,0.5960405334864287
332,0.5864208523984604
333,0.5852331613832666
334,0.5612433975789675
335,0.5740695182187878
336,0.5183702708357392
337,0.5213394077656204
338,0.5408163443878371
339,0.5463981659700767
340,0.5064940855486266
341,0.4953305329922508
342,0.45803922783126194
343,0.484166889827772
344,0.513619778599274
345,0.4996058763361566
346,0.4827417149744013
347,0.48084157244467685
348,0.5119571199077266
349,0.5119571199077266
350,0.5119571199077266
351,0.5119571199077266
352,0.5119571199077266
353,0.5119571199077266
354,0.5119571199077266
355,0.5119571199077266
356,0.5119571199077266
357,0.5119571199077266
358,0.540717820072762
359,0.540717820072762
360,0.540717820072762
361,0.540717820072762
362,0.540717820072762
363,0.540717820072762
364,0.540717820072762
365,0.540717820072762
366,0.540717820072762
367,0.540717820072762
368,0.540717820072762
369,0.540717820072762
370,0.540717820072762
371,0.540717820072762
372,0.540717820072762
373,0.540717820072762
374,0.540717820072762
375,0.540717820072762
376,0.540717820072762
377,0.540717820072762
378,0.540717820072762
379,0.540717820072762
380,0.540717820072762
381,0.540717820072762
382,0.540717820072762
383,0.540717820072762
384,0.540717820072762
385,0.540717820072762
386,0.540717820072762
387,0.540717820072762
388,0.540717820072762
389,0.5807364325999553
390,0.5726245449916008
391,0.5877668342159279
392,0.6068026710569601
393,0.6114535724382066
394,0.5874423719145354
395,0.568081907735335
396,0.5752204084395129
397,0.5775999086742389
398,0.5739225592339443
399,0.5938236838909476
400,0.5893891457228877
401,0.5905788958402509
402,0.5806283335117493
403,0.5800875079971703
404,0.5747878470499155
405,0.5775999086742389
406,0.6103719214090486
407,0.6126433225555692
408,0.6126433225555692
409,0.6126433225555692
410,0.6126433225555692
411,0.6126433225555692
412,0.6126433225555692
413,0.6291844164205838
414,0.6291844164205838
415,0.6291844164205838
416,0.6291844164205838
417,0.6408894214488607
418,0.6908006048470139
419,0.676556080957285
420,0.6840647804359035
421,0.6840647804359035
422,0.6840647804359035
423,0.6840647804359035
424,0.6840647804359035
425,0.6840647804359035
426,0.6840647804359035
427,0.6840647804359035
428,0.6679616313271717
429,0.6782090742302367
430,0.6755064009443734
431,0.6447642440625851
432,0.6096303504833989
433,0.6151480721793514
434,0.6423995552864361
435,0.6534351705057486
436,0.6544486085526697
437,0.6369942087147098
438,0.5980316568511059
439,0.6083916467058044
440,0.5934146544230341
441,0.6063645987845554
442,0.5668389685079707
443,0.5890229177256356
444,0.599045094898027
445,0.599045094898027
446,0.599045094898027
447,0.599045094898027
448,0.599045094898027
449,0.599045094898027
450,0.599045094898027
451,0.599045094898027
452,0.599045094898027
453,0.599045094898027
454,0.599045094898027
455,0.599045094898027
456,0.599045094898027
457,0.599045094898027
458,0.599045094898027
459,0.599045094898027
460,0.599045094898027
461,0.599045094898027
462,0.599045094898027
463,0.599045094898027
464,0.6147136602527539
465,0.609064467317141
466,0.6124752240699691
467,0.6035218046220079
468,0.6074655378604126
469,0.5766613836365351
470,0.5761284071509589
471,0.5987253415349993
472,0.598831871775479
473,0.6094907509206489
474,0.6360314185430938
475,0.6827171986026574
476,0.6827171986026574
477,0.6827171986026574
478,0.6827171986026574
479,0.6827171986026574
480,0.6827171986026574
481,0.6827171986026574
482,0.6827171986026574
483,0.6827171986026574
484,0.6827171986026574
485,0.6827171986026574
486,0.6827171986026574
487,0.7423633254945798
488,0.7820597457071443
489,0.7820597457071443
490,0.7820597457071443
491,0.7820597457071443
492,0.7820597457071443
493,0.7820597457071443
494,0.7820597457071443
495,0.7820597457071443
496,0.7675858531765603
497,0.8013236315207792
498,0.8289176917412802
499,0.8355819265995081
500,0.8777541098078083
501,0.8669246288582553
502,0.8678619085337358
503,0.8555746311741919
504,0.8490146267731795
505,0.8952476667276976
506,0.8952476667276976
507,0.8952476667276976
508,0.8952476667276976
509,0.8971208564546835
510,0.8973412811680916
511,0.9291858427964383
512,0.9341443059719647
513,0.8973412811680912
514,0.9070379509405295
515,0.8710061604313948
516,0.8316686717603112
517,0.8127161816422508
518,0.7895766307781953
519,0.7808716200139039
520,0.7605969178849812
521,0.7596052588768345
522,0.7544263709878998
523,0.8768461543257609
524,0.9258801446344898
525,0.9258801446344898
526,0.9258801446344898
527,0.9258801446344898
528,0.9258801446344898
529,0.9258801446344898
530,0.9258801446344898
531,0.9258801446344898
532,0.9258801446344898
533,0.9258801446344898
534,0.9258801446344898
535,0.9258801446344898
536,0.9232052650393294
537,0.8823002538752138
538,0.8646898928986066
539,0.8314755007129471
540,0.7841059137418855
541,0.8138651397363394
542,0.8373827532471727
543,0.8403919927917283
544,0.8189921056745202
545,0.8564419506474303
546,0.8527638211328998
547,0.8186577457251252
548,0.7755236115413144
549,0.7547924443228966
550,0.816205659382105
551,0.816205659382105
552,0.816205659382105
553,0.816205659382105
554,0.8701058172473972
555,0.9243677063203628
556,0.9367876350998068
557,0.9773031863006942
558,0.9773031863006942
559,0.9773031863006942
560,0.9773031863006942
561,0.9773031863006942
562,0.9773031863006942
563,0.9773031863006942
564,0.9773031863006942
565,0.9773031863006942
566,0.9773031863006942
567,0.9773031863006942
568,0.9773031863006942
569,0.9773031863006942
570,0.9773031863006942
571,0.980870428073499
572,0.9572803825461045
573,0.907338646551235
574,0.9293176740009821
575,0.960847624318909
576,0.9020452011030784
577,0.8995137517706051
578,0.926325657865493
579,0.9243694341703357
580,0.9150485313219616
581,0.8617695735740931
582,0.8743126881655632
583,0.8043481484161039
584,0.8017015134859264
585,0.8830581897888201
586,0.8141292668918911
587,0.8176966842524973
588,0.835187687499011
589,0.9104456726966266
590,0.9104456726966266
591,0.9104456726966266
592,0.9104456726966266
593,0.9412268521194767
594,0.9412268521194767
595,0.8890190805380835
596,0.9493097843012086
597,0.9285060957292106
598,0.9775338298552099
599,0.8659630002282239
600,0.8199830715830616
601,0.8231631090384555
602,0.8963070033559666
603,0.8598675914561129
604,0.8619877512194178
605,0.8619877512194178
606,0.8619877512194178
607,0.8619877512194178
608,0.8619877512194178
609,0.8619877512194178
610,0.8619877512194178
611,0.8619877512194178
612,0.8619877512194178
613,0.8619877512194178
614,0.8619877512194178
615,0.8619877512194178
616,0.8619877512194178
617,0.8744121509803051
618,0.9121093279767125
619,0.8362914271418125
620,0.8574696309894005
621,0.918321635575071
622,0.9109800133550381
623,0.9522068909927102
624,1.000069623070826
625,1.000069623070826
626,1.000069623070826
627,1.000069623070826
628,1.000069623070826
629,1.000069623070826
630,1.000069623070826
631,1.000069623070826
632,1.000069623070826
633,1.000069623070826
634,1.000069623070826
635,1.000069623070826
636,1.000069623070826
637,1.000069623070826
638,1.000069623070826
639,1.000069623070826
640,1.000069623070826
641,1.000069623070826
642,1.000069623070826
643,1.000069623070826
644,1.000069623070826
645,1.000069623070826
646,1.0685414917394302
647,1.0685414917394302
648,1.0685414917394302
649,1.0685414917394302
650,1.0685414917394302
651,1.0685414917394302
652,1.0685414917394302
653,1.0685414917394302
654,1.0685414917394302
655,1.0685414917394302
656,1.0685414917394302
657,1.0685414917394302
658,1.0685414917394302
659,1.0685414917394302
660,1.0685414917394302
661,1.0867128604465246
662,1.081930825304664
663,1.0504897879208759
664,1.0032683081929301
665,0.9992035327183513
666,1.0027900134707495
667,1.032677049047423
668,0.9560466460489956
669,0.929267978918529
670,0.8997395731754967
671,0.8795359079391074
672,0.8883825361395585
673,0.8626795760940265
674,0.847377428472049
675,0.8644729076782203
676,0.8465406863322162
677,0.8813290571073127
678,0.9537752021586108
679,0.8391285774663293
680,0.8567021689786922
681,0.8567021689786922
682,0.8567021689786922
683,0.8567021689786922
684,0.8567021689786922
685,0.8567021689786922
686,0.8567021689786922
687,0.8567021689786922
688,0.8567021689786922
689,0.8567021689786922
690,0.8332120207594571
691,0.7431663592441708
692,0.6908028688357106
693,0.7427993402628628
694,0.7874552453807497
695,0.7911254351938306
696,0.7792579903099264
697,0.7139259980736379
698,0.7179633935511303
699,0.700345735715928
700,0.6925156863095163
701,0.7494060552926152
702,0.7494060552926152
703,0.7494060552926152
704,0.7494060552926152
705,0.7494060552926152
706,0.7494060552926152
707,0.7494060552926152
708,0.7494060552926152
709,0.7494060552926152
710,0.7494060552926152
711,0.7494060552926152
712,0.7494060552926152
713,0.7494060552926152
714,0.7494060552926152
715,0.7494060552926152
716,0.7494060552926152
717,0.7431077906260466
718,0.7499098318945159
719,0.7572158419726698
720,0.6988938496537527
721,0.8500522016514016
722,0.8857004027291149
723,0.8678133541409938
724,0.8899831765725132
725,0.8899831765725132
726,0.8899831765725132
727,0.8899831765725132
728,0.8899831765725132
729,0.8899831765725132
730,0.8899831765725132
731,0.8899831765725132
732,0.8899831765725132
733,0.8899831765725132
734,0.9818248278653425
735,0.9855734500173285
736,0.9788794527052698
737,0.9630817171054125
738,0.9132783607609287
739,0.8869039950086504
740,0.9097973514165232
741,0.9032373647928407
742,0.9344314167811845
743,0.9475515943131356
744,0.9172948000050811
745,0.9172948000050811
746,0.8893429525030665
747,0.859284273369096
748,0.8583011567164223
749,0.9025463356012373
750,0.8573178257370313
751,0.8521208314937283
752,0.8264164139502783
753,0.7703724421097162
754,0.8205170710540839
755,0.8250117166444959
